epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,823.208,1.95545,2.19366,1.17568,0.80373,0.63623,0.7304,0.39177,1.97646,1.82763,1.13743,0.000657279,0.000657279,0.000657279
61,842.067,1.88026,2.0389,1.15159,0.82717,0.61265,0.69997,0.3663,1.95545,1.92972,1.12557,0.000651553,0.000651553,0.000651553
62,850.729,2.00144,2.19672,1.12815,0.84375,0.6486,0.75681,0.41706,1.95661,1.80521,1.12709,0.000645764,0.000645764,0.000645764
63,868.613,1.99596,2.22644,1.19178,0.73292,0.66507,0.75986,0.40401,1.91747,1.766,1.11723,0.000639915,0.000639915,0.000639915
64,880.077,1.998,2.20633,1.11903,0.78555,0.6592,0.74072,0.40421,1.92623,1.92485,1.11765,0.000634007,0.000634007,0.000634007
65,897.479,1.90584,2.14392,1.13344,0.75584,0.65444,0.73758,0.41273,1.90642,1.88104,1.11696,0.000628041,0.000628041,0.000628041
66,910.975,1.84856,2.03742,1.13924,0.71139,0.72676,0.7237,0.39772,1.89539,1.80185,1.10935,0.00062202,0.00062202,0.00062202
67,923.12,1.99767,2.10728,1.11228,0.77765,0.73253,0.75323,0.41268,1.932,1.81384,1.1165,0.000615944,0.000615944,0.000615944
68,938.832,1.93486,2.00699,1.11494,0.80554,0.70833,0.76078,0.41656,1.91491,1.74726,1.10863,0.000609816,0.000609816,0.000609816
69,962.211,1.89501,2.058,1.16227,0.82196,0.6603,0.74084,0.41453,2.0149,1.81875,1.15095,0.000603638,0.000603638,0.000603638
70,977.117,1.92189,2.1098,1.14067,0.81011,0.6481,0.73103,0.41823,1.84515,1.79746,1.09065,0.00059741,0.00059741,0.00059741
71,989.724,1.91274,2.0548,1.11633,0.83428,0.67733,0.75485,0.45036,1.89117,1.77562,1.10841,0.000591134,0.000591134,0.000591134
72,1005.66,1.83163,2.0907,1.12581,0.84506,0.7118,0.77417,0.4445,1.90187,1.82808,1.11443,0.000584814,0.000584814,0.000584814
73,1019.6,1.92657,1.98122,1.08891,0.84664,0.70775,0.78721,0.4624,1.85416,1.73187,1.0961,0.000578449,0.000578449,0.000578449
74,1033.84,1.94153,2.05379,1.1024,0.85706,0.70549,0.78067,0.44791,1.9166,1.78554,1.1144,0.000572042,0.000572042,0.000572042
75,1042.06,1.83226,1.96046,1.08286,0.87198,0.67898,0.77736,0.42529,1.85445,1.73704,1.09534,0.000565594,0.000565594,0.000565594
76,1062.87,1.85883,2.00031,1.11065,0.79753,0.72497,0.77749,0.44354,1.98802,1.74582,1.14239,0.000559108,0.000559108,0.000559108
